profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
c_m181_001	sn205_m181_2022	002	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220421151044	uvp5	met_181_1_001	2022-04-21 15:10:44	-16.99885	11.1818	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_001.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_002	sn205_m181_2022	M181_5	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220421233555	uvp5	met_181_1_002	2022-04-21 23:35:55	-16.00013	11.56543	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_002.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_003	sn205_m181_2022	M181_5	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220422062810	uvp5	met_181_1_003	2022-04-22 06:28:10	-14.99988	12.06663	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_003.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_004	sn205_m181_2022	M181_9	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220422123827	uvp5	met_181_1_004	2022-04-22 12:38:27	-14.00062	12.20042	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_004.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_005	sn205_m181_2022	M181_11	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220422203808	uvp5	met_181_1_005	2022-04-22 20:38:08	-13.00022	12.71713	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_005.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_006	sn205_m181_2022	M181_13	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220423111310	uvp5	met_181_1_006	2022-04-23 11:13:10	-10.83347	13.0005	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_006.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_007	sn205_m181_2022	M181_19	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220423161216	uvp5	met_181_1_007	2022-04-23 16:12:16	-10.6003	13.35	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_007.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_008	sn205_m181_2022	M181_21	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220423174118	uvp5	met_181_1_008	2022-04-23 17:41:18	-10.63278	13.30028	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_008.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_009	sn205_m181_2022	M181_21	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220423191915	uvp5	met_181_1_009	2022-04-23 19:19:15	-10.6652	13.2507	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_009.tsv	no data available	uvp5_sn205_m181_2022_filtered
c_m181_010	sn205_m181_2022	M181_23	rainer kiko(rainer:kiko@imev-mer.fr)	HDR20220423211938	uvp5	met_181_1_010	2022-04-23 21:19:38	-10.69937	13.20013	0.0036	1.1602	0.092	export_detailed_20230127_20_59_PAR_c_m181_010.tsv	no data available	uvp5_sn205_m181_2022_filtered
